num_listings,median_price
14,164.5
32,37.5
79,25.0
10,81.995
20,31.495
9,44.0
4,9.5
33,15.0
6,39.995
6,12.0
8,150.0
31,12.0
21,75.0
30,24.0
25,13.99
23,10.0
3,55.0
1,38.99
8,140.0
15,60.0
6,15.995000000000001
23,20.0
10,65.0
15,75.0
28,40.0
4,36.5
2,31.47
3,80.0
5,39.99
8,51.495000000000005
22,20.0
39,23.0
36,20.0
2,72.245
16,19.994999999999997
8,61.5
6,147.5
22,33.5
15,20.0
10,45.0
71,50.0
14,55.99
5,95.0
14,36.489999999999995
1,25.0
23,50.0
22,32.475
12,108.995
16,48.495000000000005
23,38.49
5,7.5
20,8.0
27,30.0
12,50.0
21,199.98
2,13.495000000000001
16,87.5
25,13.0
10,35.975
12,29.0
19,63.0
10,49.95
5,20.0
39,29.95
27,80.0
3,60.0
4,62.495000000000005
14,77.495
