Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Men at Work,261114,1789.0,7.32671,6.45195,1.04,25.0,212.0,27.0,250.0,1173.0,2956.0,7327.0,71.0,60.0,2019.0,2.0,5.0,30.0,45.0,8.0,"[1032, 2988]",['family']
Gravwell: Escape from the 9th Dimension,142992,3273.0,6.91485,6.45073,1.7411,112.0,822.0,157.0,168.0,870.0,4550.0,10201.0,12.0,152.0,2013.0,1.0,4.0,20.0,35.0,12.0,"[2689, 2957, 2041, 1002, 1016, 2020, 2819]",['family']
Wyatt Earp,878,3879.0,6.8453,6.44894,1.8397,368.0,1305.0,228.0,158.0,486.0,5331.0,11297.0,9.0,61.0,2001.0,2.0,4.0,30.0,45.0,8.0,"[1055, 1002, 2040, 2004]",['family']
Era: Medieval Age,270971,1847.0,7.28362,6.44935,2.2619,42.0,306.0,57.0,315.0,1493.0,3171.0,5936.0,181.0,150.0,2019.0,1.0,4.0,45.0,60.0,8.0,"[1029, 1015, 1017, 2072, 2043, 2875, 2978, 1035, 2661, 2870, 2020, 2819, 2940, 2686, 2849]","['strategy', 'family']"
Exit: The Game – The Sunken Treasure,226518,2142.0,7.14436,6.4489,1.8,35.0,132.0,43.0,65.0,324.0,4240.0,2776.0,50.0,26.0,2017.0,1.0,4.0,45.0,90.0,10.0,"[2023, 1039]",[]
Fearsome Floors,7805,7493.0,6.66685,6.44874,1.8265,657.0,2088.0,248.0,243.0,1017.0,7991.0,19758.0,34.0,141.0,2003.0,2.0,7.0,60.0,60.0,10.0,"[2676, 1024, 2011, 1031]",['family']
Circadians: First Light,264052,1178.0,7.75878,6.44892,3.4318,88.0,222.0,41.0,232.0,1040.0,2389.0,3202.0,51.0,123.0,2019.0,1.0,4.0,60.0,90.0,12.0,"[2912, 1017, 2072, 2850, 1016, 2016, 2004, 1113, 2015, 2082, 2935]",['strategy']
Ascending Empires,37919,1995.0,7.17857,6.44811,2.3421,152.0,1008.0,84.0,304.0,973.0,1836.0,4378.0,2.0,153.0,2011.0,2.0,4.0,75.0,75.0,10.0,"[1032, 1029, 1015, 1046, 2860, 1016, 2004, 1113, 2849]",['strategy']
De Vulgari Eloquentia,75165,1870.0,7.23075,6.44758,3.6281,199.0,1285.0,184.0,94.0,436.0,2960.0,3015.0,169.0,169.0,2010.0,2.0,5.0,120.0,120.0,14.0,"[2001, 2046, 1035, 2004]",['strategy']
Warsaw: City of Ruins,206803,1619.0,7.35276,6.44689,2.26,50.0,531.0,55.0,190.0,918.0,2241.0,4793.0,19.0,99.0,2016.0,2.0,4.0,45.0,60.0,10.0,"[2041, 1029, 1021, 2020, 2002]",['strategy']
